Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Paid_Social,Facebook,Business-focused zero tolerance architecture,01-04,98120.22,244,25,3,252
2022-01-07,Paid_Social,Facebook,Persistent 24/7 attitude,02-04,52703.28,134,14,1,141
2022-01-07,Paid_Social,Facebook,Integrated dedicated contingency,03-04,8025.84,20,2,0,21
2022-01-07,Paid_Social,Facebook,Profound intangible policy,04-04,7530.33,19,2,0,20
2022-01-07,Paid_Social,Facebook,Centralized modular throughput,05-04,121522.72,280,29,3,291
2022-01-07,Paid_Social,Facebook,Automated uniform software,06-04,55988.16,137,15,1,144
2022-01-07,Paid_Social,Facebook,Cross-platform static hierarchy,07-04,186571.72,467,49,5,484
2022-01-07,Paid_Social,Facebook,Networked value-added time-frame,08-04,38845.46,94,10,1,99
2022-01-14,Paid_Social,Facebook,Business-focused zero tolerance architecture,01-04,71043.75,179,19,2,185
2022-01-14,Paid_Social,Facebook,Persistent 24/7 attitude,02-04,37604.73,91,10,1,96
2022-01-14,Paid_Social,Facebook,Integrated dedicated contingency,03-04,5794.94,15,2,0,16
2022-01-14,Paid_Social,Facebook,Profound intangible policy,04-04,5628.46,14,1,0,14
2022-01-14,Paid_Social,Facebook,Centralized modular throughput,05-04,88439.35,226,24,2,241
2022-01-14,Paid_Social,Facebook,Automated uniform software,06-04,41117.99,104,11,1,108
2022-01-14,Paid_Social,Facebook,Cross-platform static hierarchy,07-04,139718.78,326,35,3,340
2022-01-14,Paid_Social,Facebook,Networked value-added time-frame,08-04,29069.75,75,8,1,77
2022-01-21,Paid_Social,Facebook,Business-focused zero tolerance architecture,01-04,63241.07,163,18,2,170
2022-01-21,Paid_Social,Facebook,Persistent 24/7 attitude,02-04,33299.39,81,8,1,85
2022-01-21,Paid_Social,Facebook,Integrated dedicated contingency,03-04,5044.47,12,1,0,13
2022-01-21,Paid_Social,Facebook,Profound intangible policy,04-04,4816.42,11,1,0,12
2022-01-21,Paid_Social,Facebook,Centralized modular throughput,05-04,76124.07,186,20,2,196
