Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,232378.81,589,61,6,623
2022-01-07,Programmatic,DV360,Persistent 24/7 attitude,02-04,4315.23,10,1,0,11
2022-01-07,Programmatic,DV360,Integrated dedicated contingency,03-04,54106.05,127,13,1,135
2022-01-07,Programmatic,DV360,Profound intangible policy,04-04,17188.18,44,5,0,48
2022-01-07,Programmatic,DV360,Centralized modular throughput,05-04,69114.97,170,18,2,176
2022-01-07,Programmatic,DV360,Automated uniform software,06-04,40079.4,99,11,1,104
2022-01-07,Programmatic,DV360,Cross-platform static hierarchy,07-04,69772.87,170,18,2,179
2022-01-07,Programmatic,DV360,Networked value-added time-frame,08-04,76241.56,185,19,2,197
2022-01-14,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,231906.77,584,61,6,617
2022-01-14,Programmatic,DV360,Persistent 24/7 attitude,02-04,4450.77,11,1,0,12
2022-01-14,Programmatic,DV360,Integrated dedicated contingency,03-04,54347.31,138,15,1,145
2022-01-14,Programmatic,DV360,Profound intangible policy,04-04,16772.52,40,4,0,41
2022-01-14,Programmatic,DV360,Centralized modular throughput,05-04,70567.83,174,18,2,185
2022-01-14,Programmatic,DV360,Automated uniform software,06-04,39717.64,97,10,1,101
2022-01-14,Programmatic,DV360,Cross-platform static hierarchy,07-04,70983.44,169,18,2,179
2022-01-14,Programmatic,DV360,Networked value-added time-frame,08-04,76138.37,193,20,2,203
2022-01-21,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,226491.96,571,59,6,598
2022-01-21,Programmatic,DV360,Persistent 24/7 attitude,02-04,4378.79,11,1,0,11
2022-01-21,Programmatic,DV360,Integrated dedicated contingency,03-04,55609.25,135,14,1,144
2022-01-21,Programmatic,DV360,Profound intangible policy,04-04,17113.41,40,4,0,43
2022-01-21,Programmatic,DV360,Centralized modular throughput,05-04,70199.26,170,18,2,181
2022-01-21,Programmatic,DV360,Automated uniform software,06-04,40021.41,98,10,1,101
2022-01-21,Programmatic,DV360,Cross-platform static hierarchy,07-04,71310.4,172,18,2,184
2022-01-21,Programmatic,DV360,Networked value-added time-frame,08-04,75631.3,186,19,2,193
2022-01-28,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,154131.78,383,41,4,398
2022-01-28,Programmatic,DV360,Persistent 24/7 attitude,02-04,2941.0,7,1,0,8
2022-01-28,Programmatic,DV360,Integrated dedicated contingency,03-04,37221.9,90,10,1,95
